2458842.500000000, A.D. 2019-Dec-25 00:00:00.0000,  4.814518387213492E-01,  1.705078014619828E+04,  6.156839552495435E+01,  1.651175530867481E+02,  2.543267443640401E+02,  2.458842273300610E+06,  6.066787493852624E-03,  1.188291185854575E+02,  1.540700368976473E+02,  3.288176763399177E+04,  4.871275512178526E+04,  5.933947750185449E+04,
2458843.500000000, A.D. 2019-Dec-26 00:00:00.0000,  4.814430314817846E-01,  1.705073666152767E+04,  6.156947149788554E+01,  1.650878141744465E+02,  2.543306896601871E+02,  2.458843646901482E+06,  6.066965264698425E-03,  2.829963292315423E+02,  2.297790557606146E+02,  3.288112530866265E+04,  4.871151395579762E+04,  5.933773876944963E+04,
2458844.500000000, A.D. 2019-Dec-27 00:00:00.0000,  4.814347846486304E-01,  1.705172000061304E+04,  6.157318726575684E+01,  1.650646144623052E+02,  2.543205769256313E+02,  2.458844333670933E+06,  6.066585183739991E-03,  8.718187293963213E+01,  1.369637219850854E+02,  3.288249866327638E+04,  4.871327732593971E+04,  5.934145637069312E+04,
2458845.500000000, A.D. 2019-Dec-28 00:00:00.0000,  4.815036474169006E-01,  1.704861346943817E+04,  6.157504828850997E+01,  1.650380813280198E+02,  2.543206523429349E+02,  2.458845707274040E+06,  6.067034696449759E-03,  2.513486483012134E+02,  2.109543952295613E+02,  3.288087444492830E+04,  4.871313542041843E+04,  5.933705970243765E+04,
2458846.500000000, A.D. 2019-Dec-29 00:00:00.0000,  4.815064533122208E-01,  1.705020500537915E+04,  6.158101826607293E+01,  1.650146456261926E+02,  2.543139450151662E+02,  2.458846394063064E+06,  6.066135991893464E-03,  5.552304708967125E+01,  1.123677653463382E+02,  3.288412192263266E+04,  4.871803883988616E+04,  5.934585055150251E+04,
2458847.500000000, A.D. 2019-Dec-30 00:00:00.0000,  4.816179838909794E-01,  1.704491745483488E+04,  6.158190307205007E+01,  1.649899150759298E+02,  2.543068398061945E+02,  2.458847767662317E+06,  6.067000809563874E-03,  2.196943921808989E+02,  1.962362926822124E+02,  3.288099688097624E+04,  4.871707630711759E+04,  5.933739112618952E+04,
2458848.500000000, A.D. 2019-Dec-31 00:00:00.0000,  4.816624133824103E-01,  1.704493253151534E+04,  6.158604149652393E+01,  1.649638852037924E+02,  2.542990389171337E+02,  2.458848454471104E+06,  6.066212791830236E-03,  2.386264058386847E+01,  6.666309480153723E+01,  3.288384437397640E+04,  4.872275621643747E+04,  5.934509921657141E+04,
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  4.817711424765917E-01,  1.703999775221364E+04,  6.158640769941404E+01,  1.649405100866109E+02,  2.542941276029162E+02,  2.458849828068328E+06,  6.066938695347114E-03,  1.880319945117820E+02,  1.832087374012262E+02,  3.288122130760336E+04,  4.872244486299308E+04,  5.933799863118659E+04,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000,  4.818068184091459E-01,  1.703931293063994E+04,  6.158799275147835E+01,  1.649151567222840E+02,  2.542933798285530E+02,  2.458850514891524E+06,  6.066677932954888E-03,  3.521944443075200E+02,  3.350502968137362E+02,  3.288216351733766E+04,  4.872501410403539E+04,  5.934054914048409E+04,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000,  4.819295085201759E-01,  1.703488676025701E+04,  6.158706529321591E+01,  1.648878278581603E+02,  2.542855759069211E+02,  2.458851201694818E+06,  6.066887262162545E-03,  1.563653299014398E+02,  1.704899904952745E+02,  3.288140714519044E+04,  4.872792753012387E+04,  5.933850168029623E+04,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000,  4.819652215561140E-01,  1.703496897796345E+04,  6.158752339487111E+01,  1.648577270980127E+02,  2.542836899846083E+02,  2.458852575309057E+06,  6.066216027045082E-03,  3.205289366456682E+02,  2.664232853113840E+02,  3.288383268230453E+04,  4.873269638664561E+04,  5.934506756683372E+04,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000,  4.820430077727092E-01,  1.703130731667982E+04,  6.158472208553734E+01,  1.648314466546615E+02,  2.542819492259073E+02,  2.458853262101347E+06,  6.066805738853183E-03,  1.246998163831108E+02,  1.568519478934111E+02,  3.288170170933055E+04,  4.873209610198128E+04,  5.933929904735195E+04,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000,  4.820737759048872E-01,  1.703007507702233E+04,  6.158313123241894E+01,  1.647998086215962E+02,  2.542879165971944E+02,  2.458854635718231E+06,  6.066923582469335E-03,  2.888589196923475E+02,  2.340174731365012E+02,  3.288127591294721E+04,  4.873247674887209E+04,  5.933814644381498E+04,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000,  4.820937707637478E-01,  1.702995714402094E+04,  6.158271951698574E+01,  1.647735146565557E+02,  2.542810433579251E+02,  2.458855322495359E+06,  6.066635276834565E-03,  9.304035126472276E+01,  1.405573321361659E+02,  3.288231765262747E+04,  4.873467816123400E+04,  5.934096637961067E+04,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000,  4.821430547870728E-01,  1.702761677858062E+04,  6.158111186192819E+01,  1.647430289580744E+02,  2.542851483669637E+02,  2.458856696099653E+06,  6.067019954704590E-03,  2.572064198162385E+02,  2.139802124334395E+02,  3.288092770790082E+04,  4.873423863722103E+04,  5.933720388060415E+04,
